ReNummer,SummeNetto,MwStSatz,ZahlungsbetragBrutto,KdNr,Summenebenkosten,ReDatum,Zahlungsdatum
103539,207,7,0,79475,0,2025-04-01 00:00:00,NULL
103538,1793.44,0,0,81047,0,2025-04-01 00:00:00,NULL
103537,2000,7,0,11190,0,2025-04-01 00:00:00,NULL
103536,400,7,0,80343,0,2025-04-01 00:00:00,NULL
103535,642,0,0,80201,0,2025-04-01 00:00:00,NULL
103534,4322,0,0,78536,0,2025-04-01 00:00:00,NULL
103533,1333.33,0,0,78695,0,2025-04-01 00:00:00,NULL
103532,218,7,0,10207,0,2025-04-01 00:00:00,NULL
103531,350,0,0,79199,0,2025-04-01 00:00:00,NULL
103530,292,0,0,79631,0,2025-04-01 00:00:00,NULL
103529,1166.67,0,0,79791,0,2025-04-01 00:00:00,NULL
103528,3685,7,0,72880,0,2025-04-01 00:00:00,NULL
103527,1062.73,0,0,79497,0,2025-04-01 00:00:00,NULL
103526,225,0,0,79150,0,2025-04-01 00:00:00,NULL
103525,240,0,240,79046,0,2025-04-01 00:00:00,2025-04-01 00:00:00
103524,2000,0,0,20223,0,2025-04-01 00:00:00,NULL
103523,1200,0,0,79984,0,2025-04-01 00:00:00,NULL
103522,478.05,0,0,79945,0,2025-04-01 00:00:00,NULL
103521,7982.42,0,0,79705,0,2025-04-01 00:00:00,NULL
103520,554.08,0,0,81062,0,2025-04-01 00:00:00,NULL
103519,60,0,0,11569,0,2025-03-31 00:00:00,NULL
103518,240,7,0,73637,0,2025-03-31 00:00:00,NULL
103517,49,0,0,79133,0,2025-03-31 00:00:00,NULL
103516,143.49,0,0,79945,0,2025-03-31 00:00:00,NULL
103515,58,7,62.06,10270,0,2025-03-27 00:00:00,2025-04-02 00:00:00
103514,103.8,0,0,80820,0,2025-03-30 00:00:00,NULL
103513,1000,7,1070,79843,0,2025-03-30 00:00:00,2025-04-01 00:00:00
103512,5000,0,0,81342,0,2025-04-01 00:00:00,NULL
103511,630,7,0,10102,0,2025-03-28 00:00:00,NULL
103510,880,0,0,80988,0,2025-03-28 00:00:00,NULL
103509,150,7,160.5,81402,0,2025-03-28 00:00:00,2025-03-31 00:00:00
103508,11034.9,0,10960.82,78962,74.08,2025-03-28 00:00:00,2025-04-02 00:00:00
103507,208.64,0,0,79705,0,2025-03-28 00:00:00,NULL
103506,2016.88,0,0,79705,0,2025-03-28 00:00:00,NULL
103505,13214,0,0,79705,0,2025-03-28 00:00:00,NULL
103504,600,7,642,78277,0,2025-03-28 00:00:00,2025-04-02 00:00:00
103503,2260,7,2418.2,78277,0,2025-03-28 00:00:00,2025-04-02 00:00:00
103502,420,0,0,79951,0,2025-03-27 00:00:00,NULL
103501,522,7,0,72875,0,2025-03-27 00:00:00,NULL
103500,564,7,603.48,78107,0,2025-01-31 00:00:00,2025-01-31 00:00:00
103499,400,0,0,81226,0,2025-04-01 00:00:00,NULL
103498,0,0,0,81227,0,2025-04-01 00:00:00,NULL
103497,130,0,0,80275,0,2025-04-01 00:00:00,NULL
103496,3500,0,0,81314,0,2025-04-01 00:00:00,NULL
103495,600,0,600,81312,0,2025-04-01 00:00:00,2025-03-28 00:00:00
103494,350,7,374.5,79682,0,2025-04-01 00:00:00,2025-04-01 00:00:00
103493,375,0,0,81097,0,2025-04-01 00:00:00,NULL
103492,450,7,0,81060,0,2025-04-01 00:00:00,NULL
103491,145,0,0,81044,0,2025-04-01 00:00:00,NULL
103490,700,0,0,80918,0,2025-04-01 00:00:00,NULL
103489,5400,0,0,80849,0,2025-03-27 00:00:00,NULL
103488,1500,0,0,80847,0,2025-04-01 00:00:00,NULL
103487,208,0,0,79348,0,2025-04-01 00:00:00,NULL
103486,2400,7,0,20650,0,2025-04-01 00:00:00,NULL
103485,100,0,0,80190,0,2025-04-01 00:00:00,NULL
103484,2200,0,2200,80184,0,2025-03-27 00:00:00,2025-04-02 00:00:00
103483,600,7,642,80102,0,2025-04-01 00:00:00,2025-03-28 00:00:00
103482,800,7,856,10384,0,2025-04-01 00:00:00,2025-04-01 00:00:00
103481,195,7,208.65,12053,0,2025-04-01 00:00:00,2025-03-31 00:00:00
103480,1042,7,0,10290,0,2025-04-01 00:00:00,NULL
103479,1300,7,0,20697,0,2025-04-01 00:00:00,NULL
103478,2500,7,0,10049,0,2025-04-01 00:00:00,NULL
103477,166,0,0,79560,0,2025-04-01 00:00:00,NULL
103476,1000,7,0,75752,0,2025-04-01 00:00:00,NULL
103475,23000,7,0,10039,0,2025-04-01 00:00:00,NULL
103474,400,7,0,78020,0,2025-04-01 00:00:00,NULL
103473,2500,7,0,20827,0,2025-04-01 00:00:00,NULL
103472,155.95,7,166.87,79210,0,2025-04-01 00:00:00,2025-04-02 00:00:00
103471,495,0,0,72631,0,2025-04-01 00:00:00,NULL
103470,100,0,0,79148,0,2025-04-01 00:00:00,NULL
103469,1200,0,0,79149,0,2025-04-01 00:00:00,NULL
103468,600,7,0,79041,0,2025-04-01 00:00:00,NULL
103467,1700,7,0,76875,0,2025-04-01 00:00:00,NULL
103466,475,7,0,74026,0,2025-04-01 00:00:00,NULL
103465,600,7,0,73561,0,2025-04-01 00:00:00,NULL
103464,380,0,0,11194,0,2025-04-01 00:00:00,NULL
103463,375,7,401.25,78666,0,2025-04-01 00:00:00,2025-04-02 00:00:00
103462,28500,7,0,78468,0,2025-04-01 00:00:00,NULL
103461,70,7,0,73972,0,2025-04-01 00:00:00,NULL
103460,1500,7,0,12173,0,2025-04-01 00:00:00,NULL
103459,316,7,338.12,20743,0,2025-04-01 00:00:00,2025-04-02 00:00:00
103458,1550,0,0,10616,0,2025-04-01 00:00:00,NULL
103457,3599,7,0,20080,0,2025-04-01 00:00:00,NULL
103456,1700,7,0,12603,0,2025-04-01 00:00:00,NULL
103455,1000,0,0,10251,0,2025-04-01 00:00:00,NULL
103454,5750,7,0,20267,0,2025-04-01 00:00:00,NULL
103453,9500,7,0,20731,0,2025-04-01 00:00:00,NULL
103452,4800,7,5136,73221,0,2025-04-01 00:00:00,2025-04-02 00:00:00
103451,1950,7,2086.5,12132,0,2025-04-01 00:00:00,2025-03-27 00:00:00
103450,700,7,0,77680,0,2025-04-01 00:00:00,NULL
103449,1750,7,0,10952,0,2025-04-01 00:00:00,NULL
103448,805,7,0,77174,0,2025-04-01 00:00:00,NULL
103447,1250,7,1337.5,75745,0,2025-04-01 00:00:00,2025-04-02 00:00:00
103446,650,7,695,75254,0,2025-04-01 00:00:00,2025-04-01 00:00:00
103445,275,7,0,12324,0,2025-04-01 00:00:00,NULL
103444,100,7,0,10349,0,2025-04-01 00:00:00,NULL
103443,545.5,7,0,75232,0,2025-04-01 00:00:00,NULL
103442,870,0,0,73168,0,2025-04-01 00:00:00,NULL
103441,466,0,0,50286,0,2025-04-01 00:00:00,NULL
103440,2639,0,0,20993,0,2025-04-01 00:00:00,NULL
103439,1575,7,1605,75279,0,2025-04-01 00:00:00,2025-03-28 00:00:00
103438,1300,7,0,72874,0,2025-04-01 00:00:00,NULL
103437,7500,7,0,75237,0,2025-04-01 00:00:00,NULL
103436,4600,0,0,72120,0,2025-04-01 00:00:00,NULL
103435,1350,7,0,20639,0,2025-04-01 00:00:00,NULL
103434,340,7,0,11480,0,2025-04-01 00:00:00,NULL
103433,4000,7,0,20434,0,2025-04-01 00:00:00,NULL
103432,172,7,0,20361,0,2025-04-01 00:00:00,NULL
103431,4200,7,0,20342,0,2025-04-01 00:00:00,NULL
103430,1990,7,2129.3,10216,0,2025-04-01 00:00:00,2025-03-28 00:00:00
103429,525,7,0,72632,0,2025-04-01 00:00:00,NULL
103428,1100,7,0,20444,0,2025-04-01 00:00:00,NULL
103427,3750,0,0,10722,0,2025-04-01 00:00:00,NULL
103426,13750,0,0,10964,0,2025-04-01 00:00:00,NULL
103425,7500,7,0,20121,0,2025-04-01 00:00:00,NULL
103424,2250,7,0,12082,0,2025-04-01 00:00:00,NULL
103423,169,7,0,12348,0,2025-04-01 00:00:00,NULL
103422,3900,7,4173,12197,0,2025-04-01 00:00:00,2025-04-02 00:00:00
103421,875,0,0,80373,0,2025-03-31 00:00:00,NULL
103420,2322,7,2484.54,79666,0,2025-03-26 00:00:00,2025-03-26 00:00:00
103419,20500,7,0,12187,0,2025-04-01 00:00:00,NULL
103418,75,7,0,10655,0,2025-03-26 00:00:00,NULL
103417,10000,0,0,76050,0,2025-03-26 00:00:00,NULL
103416,5000,0,0,76050,0,2025-03-26 00:00:00,NULL
103415,75000,0,0,76050,0,2025-03-26 00:00:00,NULL
103414,2500,7,0,10851,0,2025-04-01 00:00:00,NULL
103413,12500,7,0,20054,0,2025-04-01 00:00:00,NULL
103412,5000,0,0,79794,0,2025-03-26 00:00:00,NULL
103411,1980,0,0,73000,0,2025-03-26 00:00:00,NULL
103410,843.75,0,0,73000,0,2025-03-26 00:00:00,NULL
103409,240,0,0,81398,0,2025-03-31 00:00:00,NULL
103408,136.59,0,0,79505,0,2025-03-26 00:00:00,NULL
103407,167.76,0,0,79505,0,2025-03-26 00:00:00,NULL
103406,49,7,0,12033,0,2025-03-26 00:00:00,NULL
103405,1360,0,0,80874,0,2025-03-25 00:00:00,NULL
103404,1000,0,0,81391,0,2025-03-25 00:00:00,NULL
103403,1050,0,0,80598,0,2025-03-25 00:00:00,NULL
103402,204.23,0,204.23,79829,0,2025-03-24 00:00:00,2025-03-24 00:00:00
103401,1035,7,0,50450,0,2025-03-25 00:00:00,NULL
103400,270,7,0,80348,0,2025-03-25 00:00:00,NULL
103399,40,7,0,10956,0,2025-03-25 00:00:00,NULL
103398,130,7,139.1,20524,0,2025-03-25 00:00:00,2025-03-26 00:00:00
103397,89.77,0,89.77,79944,0,2025-03-25 00:00:00,2025-03-31 00:00:00
103396,69,7,0,50450,0,2025-03-24 00:00:00,NULL
103395,3355,7,0,72880,0,2025-03-24 00:00:00,NULL
103394,897,0,0,72450,0,2025-03-24 00:00:00,NULL
103393,6410.05,0,6410.05,75143,0,2025-03-24 00:00:00,2025-03-17 00:00:00
103392,493.52,0,491.71,81357,1.81,2025-03-24 00:00:00,2025-03-26 00:00:00
103391,207,7,0,50450,0,2025-03-24 00:00:00,NULL
103390,29,7,31.03,10233,0,2025-03-21 00:00:00,2025-03-26 00:00:00
103389,322.24,7,344.8,20115,0,2025-03-12 00:00:00,2025-03-13 00:00:00
103388,1115,7,1193.05,10275,0,2025-02-28 00:00:00,2025-03-21 00:00:00
103387,1950,7,0,79806,0,2025-03-21 00:00:00,NULL
103386,160,7,171.2,11302,0,2025-03-10 00:00:00,2025-03-13 00:00:00
103385,20,7,21.4,73247,0,2025-03-10 00:00:00,2025-03-13 00:00:00
103384,22512,0,0,79987,0,2025-03-20 00:00:00,NULL
103383,4760.52,0,0,81385,0,2025-03-20 00:00:00,NULL
103382,468,7,500.76,20288,0,2025-03-20 00:00:00,2025-03-21 00:00:00
103381,180,7,192.6,20524,0,2025-03-20 00:00:00,2025-03-25 00:00:00
103380,1797.32,0,0,79705,0,2025-03-20 00:00:00,NULL
103379,621.3,0,0,79705,0,2025-03-20 00:00:00,NULL
103378,380,7,406.6,20251,0,2025-02-28 00:00:00,2025-03-11 00:00:00
103377,91.8,0,0,78096,0,2025-03-20 00:00:00,NULL
103376,1475,7,0,81382,0,2025-03-20 00:00:00,NULL
103375,3368,7,3603.76,79666,0,2025-03-19 00:00:00,2025-03-19 00:00:00
103374,450,7,481.5,79994,0,2025-03-19 00:00:00,2025-03-21 00:00:00
103373,3000,7,0,80605,0,2025-03-19 00:00:00,NULL
103372,28.8,0,0,10696,0,2025-03-19 00:00:00,NULL
103371,4370,7,4675.9,20020,0,2025-03-18 00:00:00,2025-03-21 00:00:00
103370,3768.84,0,0,78042,0,2025-03-18 00:00:00,NULL
103369,242.83,0,0,10990,0,2025-03-18 00:00:00,NULL
103368,800,0,0,79998,0,2025-03-18 00:00:00,NULL
103367,225,0,225,79150,0,2025-03-18 00:00:00,2025-03-26 00:00:00
103366,3422,7,3661.54,79278,0,2025-03-17 00:00:00,2025-04-01 00:00:00
103365,300,7,321,10113,0,2025-03-17 00:00:00,2025-03-28 00:00:00
103364,771.13,0,0,78568,0,2025-03-17 00:00:00,NULL
103363,849.32,0,0,78567,0,2025-03-17 00:00:00,NULL
103362,402.6,0,0,78566,0,2025-03-17 00:00:00,NULL
103361,1932,7,2067.24,72493,0,2025-03-17 00:00:00,2025-03-31 00:00:00
103360,518,7,554.26,72493,0,2025-03-17 00:00:00,2025-03-31 00:00:00
103359,1946,7,2082.22,72493,0,2025-03-17 00:00:00,2025-03-31 00:00:00
103358,952,7,1018.64,72493,0,2025-03-17 00:00:00,2025-04-01 00:00:00
103357,1022,7,1093.54,72493,0,2025-03-17 00:00:00,2025-03-31 00:00:00
103356,840,7,898.8,72493,0,2025-03-17 00:00:00,2025-03-31 00:00:00
103355,2777,7,2971.39,11058,0,2025-03-17 00:00:00,2025-03-18 00:00:00
103354,354.43,0,0,10650,0,2025-03-17 00:00:00,NULL
103353,10000,0,0,80017,0,2025-03-17 00:00:00,NULL
103352,10952.25,0,0,77466,0,2025-03-17 00:00:00,NULL
103351,480,0,480,79722,0,2025-03-17 00:00:00,2025-03-26 00:00:00
103350,750,7,802.5,20996,0,2025-03-17 00:00:00,2025-03-26 00:00:00
103349,617,0,617,81264,0,2025-03-17 00:00:00,2025-03-25 00:00:00
103348,724.65,0,724.65,81264,0,2025-03-17 00:00:00,2025-03-25 00:00:00
103347,1500,0,1500,78646,0,2025-03-17 00:00:00,2025-03-31 00:00:00
103346,10480.49,0,0,79705,0,2025-03-17 00:00:00,NULL
103345,2000,0,0,81170,0,2025-03-17 00:00:00,NULL
103344,104,7,111.28,80346,0,2025-03-17 00:00:00,2025-03-18 00:00:00
103343,2166.67,0,0,80135,0,2025-03-16 00:00:00,NULL
103342,300,0,300,78721,0,2025-03-17 00:00:00,2025-03-20 00:00:00
103341,75,7,0,79184,0,2025-03-17 00:00:00,NULL
103340,1974,7,2112.18,72804,0,2025-03-17 00:00:00,2025-03-28 00:00:00
103339,6200,7,6634,12392,0,2025-03-16 00:00:00,2025-03-18 00:00:00
103338,1694,0,0,80598,0,2025-03-16 00:00:00,NULL
103337,700,0,0,81373,0,2025-03-16 00:00:00,NULL
103336,2640,7,2824.8,77940,0,2025-03-14 00:00:00,2025-03-26 00:00:00
103335,522,7,558.54,10062,0,2025-03-10 00:00:00,2025-03-10 00:00:00
103334,60,7,64.2,12672,0,2025-03-06 00:00:00,2025-03-07 00:00:00
103333,1226.4,0,1226.4,11250,0,2025-03-13 00:00:00,2025-03-27 00:00:00
103332,184.49,0,0,20651,0,2025-03-13 00:00:00,NULL
103331,6439.01,0,0,79705,0,2025-03-13 00:00:00,NULL
103330,1314.65,0,0,79705,0,2025-03-13 00:00:00,NULL
103329,3000,7,0,75665,0,2025-03-13 00:00:00,NULL
103328,616.66,0,0,81333,0,2025-03-13 00:00:00,NULL
103327,1548.61,0,0,78911,0,2025-03-13 00:00:00,NULL
103326,950,7,0,30218,0,2025-03-13 00:00:00,NULL
103325,750,0,750,81157,0,2025-03-13 00:00:00,2025-04-02 00:00:00
103324,375,0,0,81151,0,2025-03-13 00:00:00,NULL
103323,1680,0,0,81137,0,2025-03-13 00:00:00,NULL
103322,178.79,0,0,81070,0,2025-03-13 00:00:00,NULL
103321,1192,0,0,80965,0,2025-03-13 00:00:00,NULL
103320,750,0,750,80188,0,2025-03-13 00:00:00,2025-03-24 00:00:00
103319,750,0,750,80188,0,2025-03-13 00:00:00,2025-03-24 00:00:00
103318,1500,0,1500,80188,0,2025-03-13 00:00:00,2025-03-24 00:00:00
103317,160,7,171.2,10757,0,2025-03-13 00:00:00,2025-03-26 00:00:00
103316,7291,7,7801.37,20005,0,2025-03-12 00:00:00,2025-03-14 00:00:00
103315,3480,0,3480,79806,0,2025-03-13 00:00:00,2025-03-27 00:00:00
103314,2800,0,0,79803,0,2025-03-13 00:00:00,NULL
103313,19,7,20.33,10231,0,2025-03-12 00:00:00,2025-03-12 00:00:00
103312,835,7,893.45,79666,0,2025-03-12 00:00:00,2025-03-12 00:00:00
103311,150,0,0,75903,0,2025-03-13 00:00:00,NULL
103310,100,7,107,10113,0,2025-03-13 00:00:00,2025-03-20 00:00:00
103309,6000,0,0,78663,0,2025-03-13 00:00:00,NULL
103308,495,7,529.65,79476,0,2025-03-13 00:00:00,2025-03-25 00:00:00
103307,275,7,0,79482,0,2025-03-13 00:00:00,NULL
103306,80,0,80,80797,0,2025-03-13 00:00:00,2025-03-21 00:00:00
103305,387.13,0,387.09,78691,0.04,2025-03-13 00:00:00,2025-03-25 00:00:00
103304,1500,0,1500,10250,0,2025-03-13 00:00:00,2025-03-31 00:00:00
103303,240,7,240,78338,0,2025-03-13 00:00:00,2025-03-17 00:00:00
103302,339,7,362.73,20985,0,2025-03-13 00:00:00,2025-04-02 00:00:00
103301,2550,0,0,78281,0,2025-03-13 00:00:00,NULL
103300,500,7,535,10794,0,2025-03-13 00:00:00,2025-03-21 00:00:00
103299,650,7,695.5,21119,0,2025-03-13 00:00:00,2025-03-21 00:00:00
103298,55175.7,0,55132.45,78378,43.25,2025-03-13 00:00:00,2025-03-31 00:00:00
103297,1375,7,0,21074,0,2025-03-13 00:00:00,NULL
103296,458.33,7,490.41,20782,0,2025-03-13 00:00:00,2025-03-31 00:00:00
103295,680,7,727.6,10311,0,2025-03-13 00:00:00,2025-04-01 00:00:00
103294,348,7,0,75097,0,2025-03-13 00:00:00,NULL
103293,150,0,0,10677,0,2025-03-13 00:00:00,NULL
103292,485,0,485,78016,0,2025-03-13 00:00:00,2025-03-20 00:00:00
103291,3700,7,3959,75176,0,2025-03-13 00:00:00,2025-03-25 00:00:00
103290,1200,7,0,77869,0,2025-03-13 00:00:00,NULL
103289,600,7,642,12289,0,2025-03-13 00:00:00,2025-03-24 00:00:00
103288,3000,7,0,30082,0,2025-03-13 00:00:00,NULL
103287,11500,7,0,30082,0,2025-03-13 00:00:00,NULL
103286,300,7,0,12572,0,2025-03-13 00:00:00,NULL
103285,2000,7,2140,73287,0,2025-03-13 00:00:00,2025-03-28 00:00:00
103284,2000,7,0,12407,0,2025-03-13 00:00:00,NULL
103283,750,7,802.5,10256,0,2025-03-13 00:00:00,2025-03-21 00:00:00
103282,5625,0,0,80957,0,2025-03-13 00:00:00,NULL
103281,112650,0,0,80835,0,2025-03-13 00:00:00,NULL
103280,1320,7,1412.4,79727,0,2025-03-12 00:00:00,2025-03-25 00:00:00
103279,400,7,428,12020,0,2025-03-12 00:00:00,2025-03-21 00:00:00
103278,1900,7,0,20213,0,2025-03-12 00:00:00,NULL
103277,576,0,0,80517,0,2025-03-12 00:00:00,NULL
103276,1000,0,0,10251,0,2025-03-12 00:00:00,NULL
103275,2000,7,2140,10838,0,2025-03-12 00:00:00,2025-03-27 00:00:00
103274,350,7,374.5,10383,0,2025-03-12 00:00:00,2025-03-19 00:00:00
103273,2950,7,3156.5,20038,0,2025-03-12 00:00:00,2025-03-18 00:00:00
103272,11000,7,11770,20608,0,2025-03-12 00:00:00,2025-03-27 00:00:00
103271,200,0,200,73250,0,2025-03-12 00:00:00,2025-03-13 00:00:00
103270,2200,0,2200,30137,0,2025-03-12 00:00:00,2025-03-28 00:00:00
103269,1325,7,1417.75,10905,0,2025-03-12 00:00:00,2025-03-25 00:00:00
103268,200,7,214,20020,0,2025-03-12 00:00:00,2025-03-19 00:00:00
103267,800,0,795,78378,5,2025-03-12 00:00:00,2025-03-19 00:00:00
103266,3500,7,3745,20020,0,2025-03-12 00:00:00,2025-03-19 00:00:00
103265,2000,7,2140,11190,0,2025-03-12 00:00:00,2025-03-20 00:00:00
103264,1591.77,0,0,12209,0,2025-03-12 00:00:00,NULL
103263,210,7,224.7,20348,0,2025-03-12 00:00:00,2025-03-21 00:00:00
103262,253.31,0,253.31,11663,0,2025-03-12 00:00:00,2025-03-31 00:00:00
103261,75,7,80.25,12512,0,2025-03-11 00:00:00,2025-03-17 00:00:00
103260,1225,0,0,79796,0,2025-03-11 00:00:00,NULL
103259,666.65,0,657.8,81168,8.85,2025-03-11 00:00:00,2025-03-12 00:00:00
103258,250,0,250,80409,0,2025-03-11 00:00:00,2025-03-17 00:00:00
103257,2250,0,0,80874,0,2025-03-11 00:00:00,NULL
103256,167,0,167,80522,0,2025-03-11 00:00:00,2025-03-19 00:00:00
103255,6000,0,0,20223,0,2025-03-11 00:00:00,NULL
103254,400,7,0,80343,0,2025-03-11 00:00:00,NULL
103253,75,7,80.25,20893,0,2025-02-28 00:00:00,2025-03-17 00:00:00
103252,100,7,107,10495,0,2025-03-10 00:00:00,2025-03-11 00:00:00
103251,1333.33,0,1333.33,78695,0,2025-03-11 00:00:00,2025-03-26 00:00:00
103250,350,0,350,79199,0,2025-03-11 00:00:00,2025-03-14 00:00:00
103249,1166.67,0,0,79791,0,2025-03-11 00:00:00,NULL
103248,37,7,39.59,12122,0,2025-02-28 00:00:00,2025-03-06 00:00:00
103247,111,7,118.77,12122,0,2025-02-28 00:00:00,2025-03-06 00:00:00
103246,166.5,7,178.17,12122,0,2025-02-28 00:00:00,2025-03-06 00:00:00
103245,55.5,7,59.39,12122,0,2025-02-28 00:00:00,2025-03-06 00:00:00
103244,18.5,7,19.8,10237,0,2025-02-28 00:00:00,2025-03-06 00:00:00
103243,35.7,0,0,80244,0,2025-03-10 00:00:00,NULL
103242,29,7,31.03,10233,0,2025-03-10 00:00:00,2025-03-12 00:00:00
103241,802.87,0,787.85,81357,15.02,2025-03-10 00:00:00,2025-03-17 00:00:00
103240,1312,0,1312,81068,0,2025-03-10 00:00:00,2025-03-21 00:00:00
103239,48,7,51.36,10207,0,2025-03-10 00:00:00,2025-03-14 00:00:00
103238,148,7,158.36,10207,0,2025-03-10 00:00:00,2025-03-14 00:00:00
103237,172.69,0,172.69,80950,0,2025-03-10 00:00:00,2025-03-24 00:00:00
103236,60,7,64.2,70658,0,2025-03-04 00:00:00,2025-03-04 00:00:00
103235,240,0,240,79046,0,2025-03-10 00:00:00,2025-03-10 00:00:00
103234,292,0,292,79631,0,2025-03-10 00:00:00,2025-03-21 00:00:00
103233,642,0,0,80201,0,2025-03-10 00:00:00,NULL
103232,2917,0,0,79222,0,2025-03-10 00:00:00,NULL
103231,625,0,625,80562,0,2025-03-10 00:00:00,2025-03-17 00:00:00
103230,1000,0,0,80837,0,2025-03-10 00:00:00,NULL
103229,333.33,0,0,80875,0,2025-03-10 00:00:00,NULL
103228,1668.53,0,0,80876,0,2025-03-10 00:00:00,NULL
103227,420,0,420,80843,0,2025-03-10 00:00:00,2025-03-11 00:00:00
103226,625,0,625,79026,0,2025-03-10 00:00:00,2025-03-14 00:00:00
103225,24,7,25.68,10207,0,2025-03-10 00:00:00,2025-03-14 00:00:00
103224,297.95,0,276.6,79699,21.35,2025-03-10 00:00:00,2025-03-10 00:00:00
103223,297.5,0,297.5,80518,0,2025-03-10 00:00:00,2025-03-19 00:00:00
103222,100,7,107,20143,0,2025-03-10 00:00:00,2025-03-14 00:00:00
103221,100,7,107,20664,0,2025-03-10 00:00:00,2025-03-24 00:00:00
103220,125,7,0,20664,0,2025-03-10 00:00:00,NULL
103219,50,7,53.5,20664,0,2025-03-10 00:00:00,2025-03-24 00:00:00
103218,350,7,374.5,20664,0,2025-03-10 00:00:00,2025-03-24 00:00:00
103217,35,7,37.45,20664,0,2025-03-10 00:00:00,2025-03-14 00:00:00
103216,130,7,139.1,20664,0,2025-03-10 00:00:00,2025-03-14 00:00:00
103215,100,7,107,20664,0,2025-03-10 00:00:00,2025-03-14 00:00:00
